ownername,car_no,dealername,ownercity,model,price_in_usd
Alex Moore,BMW3603,Lithia Motors,Dallas,BMW 7 Series,68093.57
Chris Brown,BMW2157,Lithia Motors,San Diego,BMW 3 Series,53030.52
Katie Moore,BMW6141,Hendrick Automotive,New York,BMW Z4,53287.16
Laura Smith,BMW1337,Group 1 Automotive,San Antonio,BMW X3,93024.24
Michael Smith,BMW9647,Sonic Automotive,Dallas,BMW X7,57036.3
Chris Jones,BMW3050,CarMax,Philadelphia,BMW 3 Series,95561.79
Chris Taylor,BMW4630,Lithia Motors,Houston,BMW 3 Series,92373.81
Laura Miller,BMW2559,AutoNation,San Antonio,BMW X5,86843.99
Emily Miller,BMW2586,CarMax,Dallas,BMW 5 Series,50054.98
Michael Wilson,BMW2378,AutoNation,Philadelphia,BMW Z4,66921.77
Michael Williams,BMW7586,Penske Automotive,San Antonio,BMW 7 Series,84879.67
John Jones,BMW9532,CarMax,New York,BMW 7 Series,65770.72
Sarah Brown,BMW3696,Group 1 Automotive,Los Angeles,BMW 7 Series,84167.19
Michael Taylor,BMW8819,AutoNation,San Antonio,BMW X1,82181.55
Michael Johnson,BMW9298,Penske Automotive,San Antonio,BMW X3,61779.45
Laura Smith,BMW3421,Group 1 Automotive,San Antonio,BMW 3 Series,65621.2
Sarah Miller,BMW7028,AutoNation,San Antonio,BMW X7,74323.26
Katie Wilson,BMW6883,AutoNation,Chicago,BMW Z4,61069.87
Emily Moore,BMW6553,AutoNation,Los Angeles,BMW Z4,75605.97
Alex Miller,BMW3937,AutoNation,Phoenix,BMW X3,91856.69
Jane Jones,BMW4753,Group 1 Automotive,San Diego,BMW 5 Series,78258.18
Katie Brown,BMW4197,Lithia Motors,San Diego,BMW X3,70032.5
Laura Davis,BMW8933,Lithia Motors,San Antonio,BMW X3,69296.1
Jane Johnson,BMW5941,Penske Automotive,Dallas,BMW X3,71910.59
Michael Williams,BMW6488,AutoNation,Dallas,BMW X7,85501.03
Emily Taylor,BMW4194,Lithia Motors,Philadelphia,BMW 7 Series,38035.9
Sarah Moore,BMW4414,Group 1 Automotive,San Antonio,BMW X1,74332.11
Laura Smith,BMW4558,Lithia Motors,Los Angeles,BMW X3,60653.35
Chris Moore,BMW3159,Penske Automotive,San Antonio,BMW 7 Series,94748.58
John Wilson,BMW6845,Sonic Automotive,Chicago,BMW X5,62726.12
Michael Smith,BMW5826,AutoNation,Dallas,BMW X7,50400.2
Jane Johnson,BMW7527,Penske Automotive,Houston,BMW 3 Series,43943.17
John Williams,BMW8310,Lithia Motors,San Jose,BMW 5 Series,67630.38
Emily Williams,BMW9471,Lithia Motors,Houston,BMW X1,75346.36
Michael Moore,BMW5995,CarMax,San Diego,BMW 5 Series,73743.63
Katie Brown,BMW9294,Lithia Motors,New York,BMW X5,48884.34
John Taylor,BMW4429,Lithia Motors,San Diego,BMW Z4,56330.81
Chris Moore,BMW1117,Lithia Motors,Chicago,BMW X3,64910.25
Sarah Wilson,BMW9748,Hendrick Automotive,San Antonio,BMW X3,43356.92
Katie Taylor,BMW7675,Hendrick Automotive,Los Angeles,BMW X3,45871.58
Michael Brown,BMW1439,Sonic Automotive,San Jose,BMW X3,74578.69
John Johnson,BMW7510,Sonic Automotive,Los Angeles,BMW X5,76832.33
Jane Smith,BMW7158,Sonic Automotive,Los Angeles,BMW X1,88342.02
Alex Williams,BMW7912,AutoNation,Houston,BMW 7 Series,71861.11
Michael Brown,BMW5779,Group 1 Automotive,Los Angeles,BMW 3 Series,95970.83
Sarah Smith,BMW2115,AutoNation,Phoenix,BMW X3,59388.9
John Wilson,BMW6671,Penske Automotive,New York,BMW X7,91958.28
Laura Brown,BMW7743,CarMax,Houston,BMW X5,92105.43
Michael Wilson,BMW4091,AutoNation,Dallas,BMW X1,36030.08
Alex Brown,BMW7387,Group 1 Automotive,San Jose,BMW 7 Series,41980.67
Sarah Moore,BMW4399,AutoNation,Phoenix,BMW X7,67239.95
Alex Moore,BMW4127,Group 1 Automotive,San Jose,BMW 5 Series,51273.69
Laura Wilson,BMW3188,AutoNation,Phoenix,BMW 7 Series,73178.67
Michael Davis,BMW8312,Penske Automotive,Los Angeles,BMW X5,37038.15
Emily Moore,BMW7932,Penske Automotive,Philadelphia,BMW Z4,89108.38
Alex Davis,BMW1676,Lithia Motors,San Antonio,BMW Z4,99804.28
Chris Smith,BMW8502,Hendrick Automotive,Chicago,BMW X7,78130.98
John Jones,BMW9791,AutoNation,Dallas,BMW X5,42510.52
Katie Moore,BMW9078,Hendrick Automotive,Chicago,BMW 3 Series,97798.83
Laura Taylor,BMW8614,AutoNation,San Jose,BMW X3,40594.14
Alex Brown,BMW3637,CarMax,San Diego,BMW 7 Series,76630.77
Alex Johnson,BMW5911,Sonic Automotive,San Jose,BMW 7 Series,52182.47
Chris Davis,BMW5000,Penske Automotive,New York,BMW X7,40323.51
Alex Jones,BMW6555,Sonic Automotive,Chicago,BMW X5,52490.25
Katie Johnson,BMW8177,CarMax,San Diego,BMW X5,86801.43
John Davis,BMW2035,Sonic Automotive,Chicago,BMW X1,79247.1
Katie Moore,BMW4796,Hendrick Automotive,New York,BMW 3 Series,66803.38
Katie Wilson,BMW1009,Penske Automotive,San Diego,BMW X5,46020.39
Michael Brown,BMW8111,CarMax,San Diego,BMW Z4,79944.88
David Brown,BMW2621,CarMax,San Diego,BMW X7,72914.93
David Smith,BMW6021,Group 1 Automotive,San Antonio,BMW 7 Series,86971.65
Alex Johnson,BMW2074,CarMax,Chicago,BMW 3 Series,61804.88
Michael Williams,BMW4135,Group 1 Automotive,Dallas,BMW X1,78962.67
Katie Miller,BMW7947,Lithia Motors,San Diego,BMW 7 Series,86875.31
Alex Brown,BMW1805,Hendrick Automotive,Los Angeles,BMW X1,51816.64
John Moore,BMW9374,Hendrick Automotive,San Jose,BMW 7 Series,40445.93
David Davis,BMW7384,Hendrick Automotive,New York,BMW Z4,80502.66
Alex Smith,BMW8815,Penske Automotive,San Jose,BMW 3 Series,57867.98
Jane Johnson,BMW3631,AutoNation,San Diego,BMW X7,92140.12
David Wilson,BMW6056,Lithia Motors,New York,BMW 7 Series,97719.72
Chris Johnson,BMW8619,CarMax,San Diego,BMW 5 Series,53789.68
David Taylor,BMW5072,AutoNation,Chicago,BMW Z4,76379.36
Emily Smith,BMW8563,Lithia Motors,San Antonio,BMW Z4,50743.22
Katie Davis,BMW3908,Penske Automotive,San Jose,BMW X7,68864.4
Michael Smith,BMW4506,Lithia Motors,Chicago,BMW Z4,79842.82
Katie Brown,BMW9489,Hendrick Automotive,Phoenix,BMW 3 Series,88880.95
Laura Miller,BMW1913,CarMax,Phoenix,BMW X3,55044.13
Jane Davis,BMW8189,CarMax,Los Angeles,BMW 3 Series,66871.13
Jane Williams,BMW8560,Sonic Automotive,Philadelphia,BMW X7,39288.92
Alex Jones,BMW7103,Hendrick Automotive,San Jose,BMW 5 Series,64466.1
John Moore,BMW2524,Lithia Motors,Chicago,BMW X5,72743.35
David Brown,BMW4087,CarMax,San Antonio,BMW X3,41143.07
Laura Moore,BMW6952,Group 1 Automotive,San Jose,BMW 3 Series,71016.6
Laura Johnson,BMW1108,CarMax,San Antonio,BMW X1,55433.56
Laura Brown,BMW6989,Lithia Motors,Phoenix,BMW 5 Series,90606.44
Katie Wilson,BMW7743,Group 1 Automotive,Philadelphia,BMW 3 Series,35000.96
Alex Taylor,BMW5093,Group 1 Automotive,Philadelphia,BMW X5,77342.01
Sarah Smith,BMW4219,Sonic Automotive,San Diego,BMW X3,51440.17
Alex Davis,BMW5417,Group 1 Automotive,Houston,BMW 5 Series,93243.29
Michael Moore,BMW4901,AutoNation,Philadelphia,BMW X7,38824.88
Sarah Moore,BMW1532,CarMax,Los Angeles,BMW 5 Series,73460.58
Sarah Smith,BMW8469,Hendrick Automotive,Los Angeles,BMW X5,62919.13
Sarah Williams,BMW6532,Penske Automotive,New York,BMW 7 Series,63819.17
Sarah Moore,BMW2824,CarMax,San Antonio,BMW Z4,75939.81
Alex Moore,BMW2148,Lithia Motors,Houston,BMW X5,62342.59
Chris Moore,BMW1124,Penske Automotive,San Diego,BMW X1,80144.86
Michael Johnson,BMW8463,Penske Automotive,San Antonio,BMW X1,51166.39
Chris Smith,BMW1381,Group 1 Automotive,Dallas,BMW 5 Series,38829.22
John Jones,BMW9271,Lithia Motors,Los Angeles,BMW X5,63600.49
Emily Taylor,BMW8008,Penske Automotive,San Diego,BMW 3 Series,45649.87
Sarah Davis,BMW9714,Lithia Motors,Chicago,BMW Z4,84408.42
Alex Moore,BMW5491,AutoNation,San Antonio,BMW X1,61749.22
Sarah Williams,BMW6543,Penske Automotive,San Antonio,BMW X7,85994.72
Jane Johnson,BMW9153,Sonic Automotive,Phoenix,BMW 7 Series,96935.54
Jane Smith,BMW9844,Hendrick Automotive,San Antonio,BMW 7 Series,70985.48
Jane Moore,BMW8030,Hendrick Automotive,Philadelphia,BMW 5 Series,88386.85
Alex Davis,BMW6120,Penske Automotive,Philadelphia,BMW 3 Series,47330.22
Jane Johnson,BMW5662,AutoNation,Dallas,BMW X3,52676.26
Jane Johnson,BMW2855,Group 1 Automotive,Los Angeles,BMW 5 Series,77187.63
Michael Moore,BMW9566,AutoNation,Dallas,BMW X5,94940.16
Laura Wilson,BMW1326,Penske Automotive,Philadelphia,BMW 7 Series,74514.66
Michael Smith,BMW3852,Lithia Motors,San Diego,BMW 5 Series,43165.25
Sarah Johnson,BMW6991,Sonic Automotive,New York,BMW 5 Series,75960.02
David Davis,BMW5387,Hendrick Automotive,Philadelphia,BMW 7 Series,97415.15
John Jones,BMW8588,AutoNation,Philadelphia,BMW 3 Series,37593.37
Jane Brown,BMW5517,Lithia Motors,Dallas,BMW Z4,94038.82
Jane Williams,BMW5474,Hendrick Automotive,Phoenix,BMW X7,83927.9
Michael Williams,BMW5619,CarMax,Chicago,BMW 7 Series,82179.18
John Brown,BMW2965,AutoNation,San Jose,BMW 5 Series,75771.17
Michael Brown,BMW3507,Sonic Automotive,Philadelphia,BMW Z4,35936.84
Laura Johnson,BMW5513,Hendrick Automotive,San Jose,BMW X5,62135.53
Jane Johnson,BMW3746,CarMax,San Antonio,BMW Z4,93436.46
Sarah Williams,BMW6259,Penske Automotive,Houston,BMW 3 Series,36194.37
Michael Davis,BMW9112,Penske Automotive,Philadelphia,BMW 3 Series,96879.58
Sarah Moore,BMW3258,Lithia Motors,Dallas,BMW X5,54928.36
John Taylor,BMW7620,Lithia Motors,San Antonio,BMW Z4,86145.09
Emily Jones,BMW5889,Penske Automotive,Phoenix,BMW X7,66302.86
Alex Johnson,BMW6141,CarMax,Houston,BMW Z4,87930.51
Katie Johnson,BMW6012,CarMax,Los Angeles,BMW X7,37369.69
Jane Taylor,BMW6837,Group 1 Automotive,Houston,BMW X1,71738.41
John Taylor,BMW4150,Penske Automotive,San Antonio,BMW X5,90518.54
David Smith,BMW4765,Lithia Motors,San Jose,BMW 5 Series,82048.78
Alex Jones,BMW3690,Hendrick Automotive,San Jose,BMW X3,52518.05
Michael Williams,BMW9314,Sonic Automotive,Chicago,BMW X1,41320.44
Emily Jones,BMW2898,AutoNation,Los Angeles,BMW X7,69472.52
Chris Taylor,BMW8945,AutoNation,New York,BMW X1,76235.22
Katie Williams,BMW4173,Sonic Automotive,Dallas,BMW 3 Series,43416.68
Alex Moore,BMW9139,Sonic Automotive,San Jose,BMW 7 Series,36551.68
Sarah Johnson,BMW5856,AutoNation,Houston,BMW X7,83087.34
Laura Williams,BMW5586,Sonic Automotive,Phoenix,BMW X1,54207.08
Michael Johnson,BMW7368,Group 1 Automotive,San Antonio,BMW X7,67564.26
Michael Davis,BMW2098,Sonic Automotive,San Antonio,BMW Z4,78411.14
Michael Smith,BMW9008,Group 1 Automotive,Houston,BMW X5,84250.46
Chris Miller,BMW6769,Sonic Automotive,Phoenix,BMW 3 Series,75258.28
Michael Brown,BMW6301,CarMax,Los Angeles,BMW Z4,94065.3
Katie Miller,BMW2555,Group 1 Automotive,New York,BMW X1,52697.18
Emily Smith,BMW8033,Penske Automotive,Phoenix,BMW X1,78546.06
David Brown,BMW1546,Group 1 Automotive,Houston,BMW X7,62996.72
Jane Johnson,BMW8178,Penske Automotive,Phoenix,BMW 7 Series,40563.9
John Smith,BMW5928,Hendrick Automotive,New York,BMW X5,56554.17
Chris Brown,BMW6678,Group 1 Automotive,New York,BMW 5 Series,77348.8
John Williams,BMW9219,Lithia Motors,Chicago,BMW X3,40762.75
Michael Davis,BMW8973,CarMax,Los Angeles,BMW X1,78861.42
John Williams,BMW6559,Hendrick Automotive,San Jose,BMW 7 Series,41111.08
Katie Taylor,BMW6583,Hendrick Automotive,Phoenix,BMW X1,90892.89
Emily Smith,BMW9384,AutoNation,Houston,BMW 3 Series,72389.05
John Moore,BMW1993,Hendrick Automotive,Houston,BMW X3,84272.8
Chris Davis,BMW7090,CarMax,Los Angeles,BMW Z4,54529.34
John Davis,BMW9905,Hendrick Automotive,Dallas,BMW X1,95310.36
Sarah Johnson,BMW2561,Hendrick Automotive,Philadelphia,BMW 5 Series,41047.39
Emily Smith,BMW3776,Lithia Motors,San Jose,BMW 7 Series,40887.38
Alex Taylor,BMW2927,Penske Automotive,Los Angeles,BMW X7,97981.51
Laura Moore,BMW2464,Group 1 Automotive,Houston,BMW 5 Series,75431.33
Sarah Davis,BMW3598,Penske Automotive,San Jose,BMW 5 Series,94387.95
Chris Jones,BMW2484,Hendrick Automotive,Houston,BMW 7 Series,39190.52
Chris Taylor,BMW8261,Group 1 Automotive,San Jose,BMW 3 Series,59052.78
Michael Miller,BMW7480,CarMax,New York,BMW X5,91330.8
Chris Moore,BMW7780,CarMax,Houston,BMW Z4,88998.59
Emily Williams,BMW2931,Group 1 Automotive,Los Angeles,BMW 3 Series,63064.43
Laura Wilson,BMW5453,Sonic Automotive,Los Angeles,BMW 5 Series,66587.36
Jane Williams,BMW5091,CarMax,Dallas,BMW 7 Series,62359.53
Alex Smith,BMW7504,Sonic Automotive,Phoenix,BMW 7 Series,46448.46
Chris Moore,BMW3782,Sonic Automotive,New York,BMW 3 Series,72382.53
Katie Taylor,BMW3147,Group 1 Automotive,San Antonio,BMW X7,53459.55
John Taylor,BMW7884,Lithia Motors,Los Angeles,BMW X5,67672.43
Michael Moore,BMW9861,CarMax,San Diego,BMW X5,39888.59
Michael Jones,BMW6460,AutoNation,Houston,BMW 7 Series,99820.69
Emily Smith,BMW6405,Lithia Motors,Los Angeles,BMW 5 Series,76681.88
Michael Smith,BMW3010,CarMax,Philadelphia,BMW X5,51623.36
Sarah Taylor,BMW6280,AutoNation,Dallas,BMW X3,76174.46
Jane Davis,BMW9571,CarMax,Houston,BMW X7,66507.13
Jane Moore,BMW5141,Sonic Automotive,Chicago,BMW 7 Series,71284.47
John Jones,BMW1061,Lithia Motors,Philadelphia,BMW 3 Series,85266.49
Chris Jones,BMW2627,Sonic Automotive,San Jose,BMW X3,77366.73
Emily Smith,BMW8123,Group 1 Automotive,Houston,BMW Z4,84955.05
David Williams,BMW9863,AutoNation,San Jose,BMW X1,60519.05
Laura Johnson,BMW4573,Hendrick Automotive,Philadelphia,BMW X1,96773.95
David Williams,BMW8140,Group 1 Automotive,Los Angeles,BMW 3 Series,92441.04
Emily Moore,BMW3334,AutoNation,Chicago,BMW 3 Series,89758.96
David Williams,BMW5253,CarMax,Phoenix,BMW Z4,85201.25
Emily Moore,BMW5799,Hendrick Automotive,Philadelphia,BMW X3,47864.49
Michael Wilson,BMW3221,Penske Automotive,Los Angeles,BMW X1,54768.64
John Brown,BMW2801,CarMax,New York,BMW X1,65280.02
Chris Smith,BMW2226,CarMax,New York,BMW X1,92045.77
Sarah Moore,BMW4650,Penske Automotive,Chicago,BMW 7 Series,70322.24
Chris Williams,BMW3761,Lithia Motors,Dallas,BMW 3 Series,75064.05
John Wilson,BMW1270,Penske Automotive,Chicago,BMW 5 Series,96564.53
Emily Davis,BMW3930,AutoNation,San Jose,BMW 3 Series,56187.48
Jane Moore,BMW9917,Group 1 Automotive,Philadelphia,BMW X3,36679.6
Michael Miller,BMW6585,Lithia Motors,Philadelphia,BMW 3 Series,55392.46
Sarah Miller,BMW8572,Penske Automotive,Houston,BMW X5,87064.25
Emily Jones,BMW9396,Penske Automotive,New York,BMW Z4,71309.71
Laura Wilson,BMW1627,Penske Automotive,Houston,BMW X7,97259.95
Alex Johnson,BMW6758,Group 1 Automotive,Philadelphia,BMW 5 Series,40666.46
David Miller,BMW3521,Sonic Automotive,Dallas,BMW 7 Series,79241.3
Jane Davis,BMW2380,Penske Automotive,San Antonio,BMW 5 Series,90204.75
Michael Johnson,BMW8419,Hendrick Automotive,San Jose,BMW 3 Series,36357.69
Sarah Miller,BMW4823,Group 1 Automotive,New York,BMW X7,44633.16
Laura Williams,BMW3073,AutoNation,San Diego,BMW 7 Series,38386.39
John Moore,BMW2300,Group 1 Automotive,Chicago,BMW Z4,70002.66
Michael Smith,BMW1518,Hendrick Automotive,San Jose,BMW Z4,86751.1
Alex Moore,BMW9299,CarMax,New York,BMW 3 Series,86254.03
Chris Davis,BMW6021,CarMax,Chicago,BMW X7,82576.18
Sarah Davis,BMW5406,CarMax,San Jose,BMW X5,97094.99
Sarah Johnson,BMW3403,AutoNation,New York,BMW X7,48267.98
Jane Taylor,BMW9714,Hendrick Automotive,Phoenix,BMW 5 Series,86866.53
Katie Johnson,BMW7054,CarMax,San Diego,BMW Z4,77757.55
Jane Davis,BMW2686,Group 1 Automotive,San Antonio,BMW X3,88405.93
Michael Wilson,BMW3844,Group 1 Automotive,San Jose,BMW X5,99713.77
Katie Wilson,BMW6164,Sonic Automotive,San Diego,BMW X7,85531.27
David Brown,BMW2705,Group 1 Automotive,Phoenix,BMW X7,83662.52
David Johnson,BMW7384,Lithia Motors,New York,BMW 3 Series,74800.25
Laura Miller,BMW8551,Lithia Motors,New York,BMW 5 Series,75195.1
Sarah Smith,BMW4738,Group 1 Automotive,New York,BMW 7 Series,73040.48
Alex Davis,BMW4581,AutoNation,San Diego,BMW 3 Series,89763.85
Katie Johnson,BMW9347,CarMax,San Diego,BMW 5 Series,40638.64
Sarah Brown,BMW4629,AutoNation,Phoenix,BMW X3,94418.12
Emily Jones,BMW7275,Lithia Motors,New York,BMW 7 Series,82787.65
Michael Davis,BMW2284,CarMax,San Diego,BMW X7,42264.18
Laura Williams,BMW1176,Group 1 Automotive,Philadelphia,BMW Z4,86388.18
Jane Williams,BMW6089,Lithia Motors,Chicago,BMW X3,78986.92
Jane Davis,BMW8377,Sonic Automotive,San Antonio,BMW 3 Series,99833.99
Michael Smith,BMW4936,Lithia Motors,San Jose,BMW X5,77365.34
Laura Davis,BMW9473,Hendrick Automotive,Dallas,BMW 7 Series,86738.08
Katie Smith,BMW6520,AutoNation,Philadelphia,BMW Z4,67323.09
Chris Wilson,BMW1618,AutoNation,Chicago,BMW 7 Series,79706.16
Jane Taylor,BMW1851,Group 1 Automotive,San Jose,BMW 5 Series,56199.78
Emily Miller,BMW7520,Group 1 Automotive,San Diego,BMW 5 Series,96269.32
Jane Jones,BMW4956,CarMax,San Antonio,BMW Z4,84057.07
Jane Davis,BMW7388,Penske Automotive,San Diego,BMW Z4,41212.74
Jane Taylor,BMW1316,Lithia Motors,San Diego,BMW 7 Series,85937.35
Sarah Taylor,BMW6969,Sonic Automotive,San Jose,BMW 3 Series,86317.98
Laura Smith,BMW7585,Lithia Motors,San Antonio,BMW X7,66426.72
John Williams,BMW6226,CarMax,Chicago,BMW X5,45341.66
David Moore,BMW8219,CarMax,Dallas,BMW X5,64595.41
Chris Johnson,BMW6023,Group 1 Automotive,Philadelphia,BMW 7 Series,73404.07
Laura Williams,BMW2658,Lithia Motors,Los Angeles,BMW X7,86364.13
Jane Moore,BMW6422,Sonic Automotive,Houston,BMW 3 Series,64030.87
Jane Wilson,BMW4472,Penske Automotive,Dallas,BMW X5,99946.44
Jane Wilson,BMW5573,CarMax,San Jose,BMW X5,61234.75
Emily Brown,BMW4522,Hendrick Automotive,Chicago,BMW 7 Series,40364.41
John Brown,BMW1962,Lithia Motors,Phoenix,BMW 5 Series,48126.98
David Moore,BMW3261,Sonic Automotive,San Jose,BMW 3 Series,84529.28
Sarah Davis,BMW1449,Sonic Automotive,San Diego,BMW X3,85581.61
John Johnson,BMW7986,AutoNation,Phoenix,BMW X7,63263.88
Jane Wilson,BMW5628,Lithia Motors,Phoenix,BMW X1,71797.3
Chris Jones,BMW4677,Lithia Motors,Dallas,BMW Z4,83960.09
Laura Taylor,BMW2368,Hendrick Automotive,New York,BMW X7,53006.06
John Miller,BMW6210,Group 1 Automotive,New York,BMW X7,91905.5
Alex Smith,BMW3021,AutoNation,Dallas,BMW X3,59057.63
Alex Taylor,BMW4654,Group 1 Automotive,Phoenix,BMW X7,93340.07
Alex Wilson,BMW1613,Hendrick Automotive,Phoenix,BMW Z4,75697.46
Chris Miller,BMW7183,Sonic Automotive,Chicago,BMW X5,89516.97
Alex Smith,BMW6634,AutoNation,Phoenix,BMW 3 Series,98594.94
Chris Smith,BMW8437,Sonic Automotive,Phoenix,BMW X5,86124.4
Emily Davis,BMW6785,Penske Automotive,Philadelphia,BMW X5,97407.63
Katie Wilson,BMW4621,Sonic Automotive,Houston,BMW Z4,89070.12
Michael Miller,BMW6985,AutoNation,Houston,BMW 7 Series,59907.08
Jane Brown,BMW8883,Sonic Automotive,Houston,BMW Z4,93567.5
Emily Brown,BMW1272,Sonic Automotive,Los Angeles,BMW Z4,37003.25
Katie Johnson,BMW6574,AutoNation,Phoenix,BMW 3 Series,94089.9
Sarah Brown,BMW7577,CarMax,San Jose,BMW 3 Series,85136.04
Katie Jones,BMW8052,Lithia Motors,Dallas,BMW X7,87523.63
John Miller,BMW1521,Group 1 Automotive,Phoenix,BMW Z4,44355.61
Laura Brown,BMW4619,CarMax,Los Angeles,BMW 5 Series,94319.48
David Brown,BMW8581,Penske Automotive,San Diego,BMW X3,81082.86
Emily Williams,BMW5497,Hendrick Automotive,San Jose,BMW X1,45708.8
Jane Miller,BMW4013,Sonic Automotive,New York,BMW 3 Series,85366.14
Chris Wilson,BMW4688,AutoNation,San Antonio,BMW X7,61726.57
Jane Taylor,BMW5810,Hendrick Automotive,Philadelphia,BMW X5,65555.94
Emily Miller,BMW7392,Group 1 Automotive,San Jose,BMW X7,96168.94
Sarah Taylor,BMW7741,Hendrick Automotive,Phoenix,BMW X1,50000.34
Michael Wilson,BMW7921,Sonic Automotive,New York,BMW 5 Series,52470.53
John Moore,BMW5392,Lithia Motors,Los Angeles,BMW 5 Series,51812.28
Sarah Brown,BMW2147,Hendrick Automotive,San Diego,BMW X1,68890.48
Chris Smith,BMW3745,Hendrick Automotive,San Diego,BMW 3 Series,90989.12
John Moore,BMW5793,Sonic Automotive,San Diego,BMW X3,39820.47
John Moore,BMW6777,Group 1 Automotive,Houston,BMW X1,60889.4
Jane Smith,BMW1078,AutoNation,Los Angeles,BMW X7,58702.53
Michael Moore,BMW7481,Penske Automotive,Dallas,BMW X3,48612.56
Jane Smith,BMW4638,AutoNation,Philadelphia,BMW X5,48643.32
Katie Brown,BMW9105,Sonic Automotive,San Jose,BMW 7 Series,45761.23
John Brown,BMW9706,Lithia Motors,San Diego,BMW X1,70644.35
Jane Johnson,BMW8788,Penske Automotive,New York,BMW Z4,88750.49
David Jones,BMW9462,AutoNation,San Jose,BMW X3,71409.9
Katie Smith,BMW2263,Penske Automotive,San Diego,BMW X3,85395.54
Emily Williams,BMW2827,Sonic Automotive,Phoenix,BMW 5 Series,80210.77
Chris Johnson,BMW3896,Sonic Automotive,Houston,BMW 5 Series,52897.47
John Jones,BMW7783,CarMax,Philadelphia,BMW X5,63239.57
Jane Jones,BMW1729,Lithia Motors,Phoenix,BMW X3,73941.9
Laura Wilson,BMW5178,Lithia Motors,Chicago,BMW X3,59578.94
Sarah Smith,BMW4728,Hendrick Automotive,Phoenix,BMW X3,68853.65
Alex Moore,BMW7618,CarMax,Dallas,BMW X3,70740.48
Katie Smith,BMW6719,Group 1 Automotive,New York,BMW Z4,74282.11
Chris Brown,BMW2916,Group 1 Automotive,Philadelphia,BMW 7 Series,91649.92
John Johnson,BMW4533,Hendrick Automotive,Houston,BMW 3 Series,51221.87
Jane Jones,BMW3168,CarMax,Philadelphia,BMW X7,37943.28
David Brown,BMW5047,CarMax,San Antonio,BMW X7,85460.52
Sarah Johnson,BMW7875,Group 1 Automotive,Chicago,BMW Z4,96057.49
Laura Taylor,BMW6091,Lithia Motors,San Jose,BMW X1,35338.82
David Miller,BMW6093,Lithia Motors,Phoenix,BMW Z4,54541.16
Sarah Miller,BMW3969,Sonic Automotive,Los Angeles,BMW X3,94254.26
Emily Johnson,BMW5971,Hendrick Automotive,San Jose,BMW 3 Series,50066.69
Chris Johnson,BMW9744,Lithia Motors,Houston,BMW 5 Series,56672.08
Michael Wilson,BMW6475,CarMax,San Antonio,BMW Z4,45360.44
Alex Taylor,BMW3363,Penske Automotive,San Diego,BMW X7,48878.79
Laura Miller,BMW6194,CarMax,New York,BMW X5,84301.39
Sarah Miller,BMW2374,Sonic Automotive,Dallas,BMW 5 Series,43453.89
Alex Smith,BMW5372,Group 1 Automotive,San Diego,BMW X5,64538.09
Katie Smith,BMW2385,Sonic Automotive,Houston,BMW Z4,43930.89
Emily Jones,BMW1367,Hendrick Automotive,Dallas,BMW 7 Series,71941.97
Michael Johnson,BMW8042,CarMax,San Diego,BMW 7 Series,60619.19
Alex Williams,BMW3885,Lithia Motors,New York,BMW Z4,77089.01
Alex Jones,BMW2743,Group 1 Automotive,New York,BMW 3 Series,41964.46
Michael Jones,BMW4326,CarMax,Dallas,BMW X3,52993.19
David Williams,BMW6973,AutoNation,Chicago,BMW X5,60128.64
Sarah Johnson,BMW8726,Group 1 Automotive,San Jose,BMW X5,89874.76
Michael Jones,BMW5059,CarMax,Phoenix,BMW 7 Series,97244.08
Alex Moore,BMW4059,AutoNation,San Antonio,BMW 5 Series,55818.14
Sarah Moore,BMW2476,Hendrick Automotive,Houston,BMW X1,84800.82
Katie Smith,BMW8362,AutoNation,San Antonio,BMW Z4,42308.44
Emily Miller,BMW3826,CarMax,San Jose,BMW 3 Series,47424.23
Chris Wilson,BMW7612,AutoNation,Dallas,BMW 7 Series,38908.28
Jane Jones,BMW9586,Sonic Automotive,Philadelphia,BMW 7 Series,69037.3
Katie Davis,BMW6990,Lithia Motors,San Jose,BMW 3 Series,54484.77
Michael Smith,BMW4179,CarMax,San Diego,BMW 3 Series,76854.62
Jane Smith,BMW6950,CarMax,Philadelphia,BMW Z4,40878.24
Katie Miller,BMW4296,AutoNation,Dallas,BMW X1,36233.12
Chris Brown,BMW6996,CarMax,Los Angeles,BMW X1,74163.38
David Moore,BMW6385,CarMax,San Diego,BMW X5,54199.56
Emily Moore,BMW6364,Hendrick Automotive,Houston,BMW X7,53538.55
Chris Wilson,BMW6324,Lithia Motors,San Jose,BMW 3 Series,96147.1
Alex Jones,BMW1294,Group 1 Automotive,Houston,BMW 3 Series,73194.21
Chris Wilson,BMW2247,CarMax,Dallas,BMW X1,45578.82
Emily Jones,BMW3922,CarMax,Phoenix,BMW 3 Series,45119.4
Katie Smith,BMW6001,AutoNation,Phoenix,BMW 3 Series,43745.73
Michael Miller,BMW7963,Hendrick Automotive,San Diego,BMW 7 Series,90257.29
Michael Smith,BMW9883,Group 1 Automotive,San Diego,BMW 5 Series,55875.4
Alex Davis,BMW5174,Penske Automotive,San Diego,BMW Z4,57132.37
Katie Williams,BMW4088,AutoNation,New York,BMW X1,53803.14
Emily Davis,BMW4894,Penske Automotive,Philadelphia,BMW 5 Series,81402.54
Sarah Smith,BMW2754,CarMax,Phoenix,BMW 7 Series,48145.14
